date,B,BF,CL,CN,C,DD,F,GS,HFA,L,LS,M,MI,MC,MTF,OO,SC,SB,SF,W,SiteId
2015-09-05,0,0,0,41,0,3,67,0,1,1,0,84,186,27,2,0,0,3,0,13,50
2015-12-12,0,0,0,100,0,1,154,0,0,2,2,0,56,11,8,0,0,4,0,15,50
2016-03-26,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,5,50
2016-08-25,0,0,0,94,0,1,52,0,0,0,0,0,112,30,0,0,0,2,0,14,50
2016-11-23,1,0,0,52,0,0,8,0,0,2,0,1,143,10,4,0,3,3,2,0,50
2015-11-29,3,5,0,95,0,0,0,0,0,0,1,0,66,44,11,0,3,0,0,2,52
2016-07-29,16,5,0,45,9,0,0,5,0,0,2,0,101,12,4,0,2,4,0,0,52
2015-04-20,0,3,3,31,0,0,0,0,0,0,14,0,292,0,3,0,0,0,0,127,53
2016-08-27,0,4,0,44,0,0,0,0,0,0,2,30,54,0,4,0,2,0,0,75,53
2015-05-30,0,12,0,931,0,0,0,0,0,0,8,11,1041,5,10,0,0,0,0,6,54
2015-05-11,34,3,0,35,0,0,0,0,1,1,0,62,10,10,3,0,0,0,12,34,51
2016-10-25,12,0,0,117,1,0,0,0,7,0,0,1,0,59,2,0,0,0,3,0,51
2015-05-05,64,0,7,3,1,9,0,0,6,1,1,38,68,16,5,0,0,2,13,8,55
2015-09-15,39,0,16,149,0,7,8,1,21,0,3,18,5,56,0,0,0,0,9,9,56
2016-10-24,15,0,11,77,0,0,1,0,15,0,1,50,0,35,0,0,0,0,12,7,56
2015-05-26,39,9,2,7,0,0,1,17,1,0,0,48,4,7,1,0,0,0,60,7,57
2016-05-26,7,0,0,29,0,0,7,0,0,10,0,119,30,5,2,0,0,0,29,23,57
2015-04-13,93,1,0,37,0,0,8,0,1,0,0,9,7,93,0,0,0,0,18,1,58
2015-09-16,70,0,0,53,1,3,40,0,1,0,0,29,2,41,0,0,0,0,5,0,58
2015-10-07,20,0,0,63,0,0,6,0,0,0,0,8,0,168,0,0,0,0,5,1,58
2016-04-14,48,40,0,31,0,0,0,0,0,0,0,29,56,38,1,0,0,0,104,0,58
2016-10-04,108,0,0,45,1,2,11,0,1,0,0,26,11,31,0,0,0,0,4,0,58
2015-05-28,50,33,5,31,0,5,0,0,5,0,13,20,0,65,0,0,0,0,40,2,59
